building,slug,city,district,verified,tier,units,floors,year,hoa_dues_psf_mo,plans,rules,county_roll,ooc_proxy_pct,t12,assessed_median,gaps,value_score,priority
Park Towers,park-towers,DAL,Oak Lawn,v,partial,80,20,1964,,,,Y,89,11,642040,hoa_dues,0.568,0.397
M Central Residences (The Highland),m-central-residences-the-highland,DAL,Mockingbird / SMU,v,partial,55,,2000s,,,,Y,73,8,789600,floors;hoa_dues,0.423,0.381
Live Oak Lofts,live-oak-lofts,DAL,Deep Ellum edge · Old East Dallas,v,complete,92,4,1998,,Y,,Y,73,7,250665,hoa_dues,0.42,0.294
1505 Elm,1505-elm,DAL,Downtown,v,partial,67,16,conv. 2002 (built 1957),,,,Y,76,7,288990,hoa_dues,0.358,0.251
Centrum Tower,centrum-tower,DAL,Oak Lawn,v,partial,30,,1985,,,,Y,77,5,807540,floors;hoa_dues,0.247,0.223
Texas & Pacific Lofts,texas-pacific-lofts,FW,Lancaster Corridor,v,partial,149,12,conv. 2005–06 (built 1931),0.71,,,,,,,county_roll,0.309,0.216
Park Highlander,park-highlander,DAL,Oak Lawn,v,partial,44,,2004,,,,Y,98,,1164745,floors;hoa_dues,0.231,0.208
The Beat at South Side Station,the-beat-at-south-side-station,DAL,The Cedars,v,partial,66,8,2007,,,,Y,80,3,394120,hoa_dues,0.279,0.195
The Belvedere,the-belvedere,DAL,Uptown / Arts District edge,v,partial,102,3,1999,,,,,,,,hoa_dues;county_roll,0.212,0.19
Thirty Thirty Bryan Condos,thirty-thirty-bryan-condos,DAL,Bryan Place,v,partial,30,,2005,,,,Y,93,4,559640,floors;hoa_dues,0.203,0.183
2220 Canton Lofts,2220-canton-lofts,DAL,Farmers Market / Deep Ellum,v,partial,39,,conv. (built 1925),,,,Y,79,2,466350,floors;hoa_dues,0.178,0.16
Lone Star Tower,lone-star-tower,FW,Texas Motor Speedway,v,partial,76,10,1997–98,,,,,,,,hoa_dues;county_roll,0.158,0.142
509 Elm Place Lofts,509-elm-place-lofts,DAL,Downtown,v,partial,25,,conv. (built 1930),,,,Y,80,3,343750,floors;hoa_dues,0.147,0.132
Lake Cliff Tower,lake-cliff-tower,DAL,Oak Cliff,v,partial,49,11,conv. 2006 (built 1929),,,,Y,16,2,228000,hoa_dues,0.18,0.126
Bryan Street Station,bryan-street-station,DAL,Bryan Place,v,partial,47,,2006,,,,Y,83,,293460,floors;hoa_dues,0.135,0.122
Art House at So7,art-house-at-so7,FW,Cultural District · So7,v,partial,63,5,late 2000s,,,,,,,,hoa_dues;county_roll,0.131,0.118
The Knox Residences (Auberge),the-knox-residences-auberge,DAL,Knox / Henderson,v,skeletal,48,,2026–27 (u/c),,,,,,,,floors;hoa_dues;county_roll,0.1,0.11
Buzz Condos,buzz-condos,DAL,The Cedars,v,partial,39,,2006,,,,Y,72,,277670,floors;hoa_dues,0.11,0.099
One Museum Place Residences,one-museum-place-residences,FW,Cultural District,v,skeletal,36,,2008,,,,,,,,address;floors;hoa_dues;county_roll,0.075,0.097
Woodshire Court,woodshire-court,DAL,Uptown · Knox,v,partial,29,,1985,,,,Y,79,,393250,floors;hoa_dues,0.091,0.082
Forest Park Tower,forest-park-tower,FW,Forest Park · South Side,v,partial,36,12,1927–30,,Y,,,,,,hoa_dues;county_roll,0.075,0.067
Alix Condos,alix-condos,DAL,Oak Lawn,v,partial,18,,2008,,,,Y,72,,394050,floors;hoa_dues,0.057,0.051
Avanti on Avondale,avanti-on-avondale,DAL,Oak Lawn,v,partial,14,,2004,,,,Y,79,,354250,floors;hoa_dues,0.043,0.038
Villa de Leon,villa-de-leon,FW,Trinity Bluff · Samuels Ave,v,partial,24,12,2008,1.02,,,,,,,county_roll,0.05,0.035
The Lakeside Tower,the-lakeside-tower,BEY,Lakeside DFW · Flower Mound,p,skeletal,,,—,,,,,,,,address;floors;units;hoa_dues;county_roll,0.0,0.0
Westview,westview,FW,West Fort Worth,p,skeletal,,,—,,,,,,,,address;floors;units;hoa_dues;county_roll,0.0,0.0
Versailles,versailles,FW,Downtown FW area,p,skeletal,,,—,,,,,,,,address;floors;units;hoa_dues;county_roll,0.0,0.0
Royale Orleans,royale-orleans,FW,TCU / Tanglewood,p,skeletal,,,—,,,,,,,,address;floors;units;hoa_dues;county_roll,0.0,0.0
959 West Bluff,959-west-bluff,FW,Downtown FW area,p,skeletal,,,—,,,,,,,,floors;units;hoa_dues;county_roll,0.0,0.0
